userID,PhaseI,PhaseII,PhaseIII,score,favTopic
20253942,1,1,0,0.0740058516729,holiday+home
213405395,1,0,0,0.0175803234111,holiday+home
3401318093,0,1,1,0.00925429507532,food
86369703,0,0,0,0.00902638762345,holiday+home
15655027,0,0,0,0.00874556636859,holiday+home
2555217416,0,1,0,0.00828498173151,holiday+gift
2152143480,0,1,1,0.00548206660162,holiday+home
818155,0,0,0,0.00492972053582,holiday+xmas+newyear
601155306,0,1,0,0.00430338399851,holiday+home
514613499,0,0,0,0.00378385534556,holiday+home
3256043222,0,0,0,0.00358897735237,holiday+home
13175582,0,0,0,0.00355239764472,holiday+xmas+newyear
260232867,0,1,0,0.00331240277683,holiday+xmas+newyear
2388901877,0,0,0,0.003020781773,holiday+xmas+newyear
14921141,0,1,1,0.00293319803693,food+cook
15568852,0,1,1,0.00285264458046,holiday+xmas+newyear
28739330,0,1,1,0.00275699149839,holiday+xmas+newyear
112468555,0,1,0,0.00249094080162,holiday+xmas+newyear
16529427,0,0,0,0.00211028158208,holiday+xmas+newyear
1525296006,0,1,0,0.00155855176029,holiday+home
85998031,0,0,0,0.00151743072601,holiday+home
26725246,0,0,0,0.001493324926,holiday+xmas+newyear
123060735,0,0,0,0.00147771624464,holiday+xmas+newyear
172105978,0,0,0,0.00143738588785,holiday+xmas+newyear
300577552,0,1,0,0.00140481939106,holiday+xmas+newyear
296676049,0,1,0,0.00139665757802,holiday+gift
485285490,0,1,0,0.00138635107228,holiday+home
23241541,0,0,0,0.00131764980328,holiday+home
2427263750,0,1,0,0.00121881474111,holiday+home
745791692,0,1,1,0.00120624917256,holiday+home
18809624,0,0,0,0.00120047405035,holiday+home
19455010,0,0,0,0.00117079355658,holiday+home
172085616,0,0,0,0.00115067108161,holiday+xmas+newyear
539978648,0,1,0,0.00111243344948,holiday+home
311753127,0,1,0,0.00103033505921,holiday+xmas+newyear
6352222,0,0,0,0.000987588226744,holiday+xmas+newyear
2305468748,0,1,0,0.000892944869193,holiday+home
3145249974,0,0,0,0.000854813538358,food+cook
23071342,0,0,0,0.000817248126435,holiday+xmas+newyear
1237091292,0,1,0,0.000622282424032,holiday+xmas+newyear
25549372,0,0,0,0.000582634026864,holiday+xmas+newyear
24703881,0,1,1,0.00052076537652,holiday+home
83057554,0,0,0,0.000330295813452,holiday+xmas+newyear
2875700721,0,0,0,0.000291472766382,holiday+xmas+newyear
20486606,0,0,0,0.000271966214534,holiday+xmas+newyear
114049072,0,0,0,0.000247791106331,holiday+xmas+newyear
50037505,0,0,0,0.000247734166666,holiday+xmas+newyear
21586778,0,0,0,0.000224046833413,holiday+xmas+newyear
26460305,0,1,0,0.000105514815836,holiday+xmas+newyear
1452770046,0,0,0,0.0,holiday+xmas+newyear
1327155384,0,0,0,0.0,holiday+home
1264656030,0,0,0,0.0,holiday+xmas+newyear
1255925394,0,0,0,0.0,holiday+gift
1416297667,0,0,0,0.0,holiday+xmas+newyear
2242889774,0,0,0,0.0,holiday+gift
2915031318,0,0,0,0.0,holiday+home
2329507819,0,0,0,0.0,holiday+xmas+newyear
2845016384,0,0,0,0.0,SocialNetwork
992310427,0,0,0,0.0,holiday+gift
2937924029,0,0,0,0.0,holiday+gift
2975842495,0,0,0,0.0,holiday+xmas+newyear
3000096146,0,0,0,0.0,holiday+xmas+newyear
3148349701,0,0,0,0.0,holiday+gift
3222822031,0,0,0,0.0,holiday+home
9054152,0,0,0,0.0,holiday+home
7121092,0,0,0,0.0,holiday+home
4281221712,0,0,0,0.0,holiday+xmas+newyear
4459903099,0,0,0,0.0,holiday+home
1206130309,0,0,0,0.0,holiday+gift
374855929,0,0,0,0.0,holiday+gift
884847343,0,0,0,0.0,holiday+gift
873828446,0,0,0,0.0,food
22981009,0,0,0,0.0,holiday+home
32571309,0,0,0,0.0,holiday+xmas+newyear
35075210,0,0,0,0.0,holiday+xmas+newyear
38763227,0,0,0,0.0,holiday+home
39940842,0,0,0,0.0,holiday+home
48918395,0,0,0,0.0,holiday+home
49559323,0,0,0,0.0,holiday+gift
61823778,0,0,0,0.0,holiday+home
17941979,0,0,0,0.0,holiday+xmas+newyear
140241017,0,0,0,0.0,holiday+gift
141323179,0,0,0,0.0,holiday+home
157448293,0,0,0,0.0,holiday+xmas+newyear
163688274,0,0,0,0.0,holiday+xmas+newyear
172759774,0,0,0,0.0,holiday+home
218713117,0,0,0,0.0,holiday+xmas+newyear
256224751,0,0,0,0.0,holiday+home
310080433,0,0,0,0.0,holiday+home
351218463,0,0,0,0.0,holiday+xmas+newyear
19576316,0,0,0,0.0,holiday+home
390197534,0,0,0,0.0,holiday+home
408865337,0,0,0,0.0,holiday+gift
478913740,0,0,0,0.0,holiday+xmas+newyear
483195215,0,0,0,0.0,holiday+xmas+newyear
486910069,0,0,0,0.0,holiday+gift
487104933,0,0,0,0.0,holiday+xmas+newyear
16145224,0,0,0,0.0,food+cook
15682352,0,0,0,0.0,holiday+home
4471175473,0,0,0,0.0,holiday+gift
