target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
1911598638,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
2159150539,39940842,YES,2,2,0.0377128799387,0.00193090863795,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
2314634707,39940842,YES,2,2,0.0377128799387,0.0012826269497,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
2321409607,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
2355289398,39940842,YES,10,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
2537681188,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
2647564096,39940842,YES,2,2,0.0377128799387,0.00108248778666,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
2737126338,39940842,YES,2,2,0.0377128799387,0.000858831675208,0,1,0,food,1,0,0,holiday+home
2821444360,39940842,YES,1,2,0.0377128799387,0.00019719074145,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
2966848055,39940842,YES,2,2,0.0377128799387,0.000854573457984,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
2994683279,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
3099848394,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
3164506695,39940842,YES,1,2,0.0377128799387,0.000563594854154,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
3270537818,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
3607433660,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+home,1,0,0,holiday+home
3886400655,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+home,1,0,0,holiday+home
4079959038,39940842,YES,1,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
4176337750,39940842,YES,12,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
4281221712,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
4325865021,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
15682352,15655027,YES,2,2,0.0202130872689,0.0,0,0,0,holiday+home,1,0,0,holiday+home
16145224,15655027,YES,3,2,0.0202130872689,0.0,0,0,0,food+cook,1,0,0,holiday+home
18809624,15655027,YES,2,2,0.0202130872689,0.00799839874737,0,1,0,holiday+home,1,0,0,holiday+home
23071342,15655027,YES,2,2,0.0202130872689,0.0118164792941,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
50037505,15655027,YES,2,2,0.0202130872689,0.00145857910383,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
83057554,15655027,YES,1,2,0.0202130872689,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
