target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
89321553,483195215,YES,9,2,1.0,0.174901765552,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
114981795,483195215,YES,2,2,1.0,0.0,0,0,0,food,1,0,0,holiday+xmas+newyear
139855451,483195215,YES,4,2,1.0,0.190644609886,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
143681438,483195215,YES,6,2,1.0,0.289136746796,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
144101650,483195215,YES,8,2,1.0,0.525101905299,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
147026000,483195215,YES,2,2,1.0,0.00594182953084,0,0,0,food+cook,1,0,0,holiday+xmas+newyear
159460842,483195215,YES,1,2,1.0,0.0912343971,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
167852680,483195215,YES,2,2,1.0,0.146460822849,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
177454156,483195215,YES,3,2,1.0,0.196551070576,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
205427145,483195215,YES,1,2,1.0,0.349369202948,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
205552817,483195215,YES,2,2,1.0,0.190527843506,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
207820751,483195215,YES,1,2,1.0,0.0818993424762,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
212067712,483195215,YES,1,2,1.0,0.46901178588,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
214105439,483195215,YES,2,2,1.0,0.10088929175,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
218280206,483195215,YES,3,2,1.0,0.324978064704,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
226318669,483195215,YES,4,2,1.0,0.0486671623929,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
226360469,483195215,YES,4,2,1.0,0.535993826169,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
247953615,483195215,YES,1,2,1.0,0.104570936723,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
259874626,483195215,YES,4,2,1.0,0.119068814097,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
266167439,483195215,YES,1,2,1.0,0.060247119716,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
282648359,483195215,YES,1,2,1.0,0.33084723624,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
297972287,483195215,YES,10,2,1.0,0.155157968185,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
303938096,483195215,YES,2,2,1.0,0.131404268683,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
306775372,483195215,YES,2,2,1.0,0.580496001835,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
310055040,483195215,YES,11,2,1.0,0.424203319568,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
315098670,483195215,YES,2,2,1.0,0.0839545514109,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
317763679,483195215,YES,2,2,1.0,0.214118878568,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
323570341,483195215,YES,1,2,1.0,0.130051912563,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
341664138,483195215,YES,7,2,1.0,0.24949618087,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
343500261,483195215,YES,2,2,1.0,0.0750381165444,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
346423170,483195215,YES,1,2,1.0,0.156453390434,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
356360314,483195215,YES,1,2,1.0,0.258701353251,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
369702252,483195215,YES,4,2,1.0,0.32346899085,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
373564351,483195215,YES,2,2,1.0,0.211125214521,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
386939806,483195215,YES,2,2,1.0,0.0727361683129,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
391403694,483195215,YES,4,2,1.0,0.378237535031,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
433700958,483195215,YES,5,2,1.0,0.0973598274861,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
445898774,483195215,YES,2,2,1.0,0.0692474598203,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
461206472,483195215,YES,4,2,1.0,0.123778925267,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
462251110,483195215,YES,1,2,1.0,0.484649357003,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
464791138,483195215,YES,2,2,1.0,0.0306878591687,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
470744719,483195215,YES,6,2,1.0,0.158667165807,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
