userID,score
96697085,0.0292
873828446,0.0269
172758851,0.0188
241844284,0.018
23241541,0.0142
15452859,0.0133
7121092,0.012
213405395,0.0113
18478105,0.0092
20253942,0.0069
260773660,0.0052
483195215,0.0041
22981009,0.0036
15655027,0.0029
26561883,0.0014
18809624,0
21586778,0
39940842,0
818155,0
86369703,0
