target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
3148349701,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
4471175473,213405395,YES,8,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
6352222,86369703,YES,1,2,0.00902638762345,0.000987588226744,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
16529427,86369703,YES,1,2,0.00902638762345,0.00211028158208,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
18809624,86369703,YES,34,2,0.00902638762345,0.00120047405035,0,0,0,holiday+home,0,0,0,holiday+home
19455010,86369703,YES,2,2,0.00902638762345,0.00117079355658,0,0,0,holiday+home,0,0,0,holiday+home
19576316,86369703,YES,1,2,0.00902638762345,0.0,0,0,0,holiday+home,0,0,0,holiday+home
20486606,86369703,YES,2,2,0.00902638762345,0.000271966214534,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
32571309,86369703,YES,1,2,0.00902638762345,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
157448293,86369703,YES,1,2,0.00902638762345,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
172105978,86369703,YES,1,2,0.00902638762345,0.00143738588785,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
15682352,15655027,YES,2,2,0.00874556636859,0.0,0,0,0,holiday+home,0,0,0,holiday+home
16145224,15655027,YES,3,2,0.00874556636859,0.0,0,0,0,food+cook,0,0,0,holiday+home
18809624,15655027,YES,2,2,0.00874556636859,0.00120047405035,0,0,0,holiday+home,0,0,0,holiday+home
23071342,15655027,YES,2,2,0.00874556636859,0.000817248126435,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
50037505,15655027,YES,2,2,0.00874556636859,0.000247734166666,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
83057554,15655027,YES,1,2,0.00874556636859,0.000330295813452,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
310080433,15655027,YES,4,2,0.00874556636859,0.0,0,0,0,holiday+home,0,0,0,holiday+home
351218463,15655027,YES,1,2,0.00874556636859,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
2388901877,15655027,YES,15,2,0.00874556636859,0.003020781773,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
2845016384,15655027,YES,2,2,0.00874556636859,0.0,0,0,0,SocialNetwork,0,0,0,holiday+home
2875700721,15655027,YES,2,2,0.00874556636859,0.000291472766382,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
3145249974,15655027,YES,10,2,0.00874556636859,0.000854813538358,0,0,0,food+cook,0,0,0,holiday+home
3256043222,15655027,YES,2,2,0.00874556636859,0.00358897735237,0,0,0,holiday+home,0,0,0,holiday+home
4281221712,15655027,YES,2,2,0.00874556636859,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
13175582,818155,YES,1,2,0.00492972053582,0.00355239764472,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
17941979,818155,YES,1,2,0.00492972053582,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
18809624,818155,YES,2,2,0.00492972053582,0.00120047405035,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
25549372,818155,YES,1,2,0.00492972053582,0.000582634026864,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
26725246,818155,YES,2,2,0.00492972053582,0.001493324926,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
38763227,818155,YES,2,2,0.00492972053582,0.0,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
48918395,818155,YES,7,2,0.00492972053582,0.0,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
85998031,818155,YES,2,2,0.00492972053582,0.00151743072601,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
172085616,818155,YES,2,2,0.00492972053582,0.00115067108161,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
487104933,818155,YES,9,2,0.00492972053582,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
514613499,818155,YES,4,2,0.00492972053582,0.00378385534556,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
1327155384,818155,YES,2,2,0.00492972053582,0.0,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
3000096146,818155,YES,2,2,0.00492972053582,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+xmas+newyear
4459903099,818155,YES,2,2,0.00492972053582,0.0,0,0,0,holiday+home,0,0,0,holiday+xmas+newyear
14921141,20253942,YES,5,3,0.0740058516729,0.00293319803693,0,1,1,food+cook,1,1,0,holiday+home
15568852,20253942,YES,2,3,0.0740058516729,0.00285264458046,0,1,1,holiday+xmas+newyear,1,1,0,holiday+home
24703881,20253942,YES,6,3,0.0740058516729,0.00052076537652,0,1,1,holiday+home,1,1,0,holiday+home
28739330,20253942,YES,2,3,0.0740058516729,0.00275699149839,0,1,1,holiday+xmas+newyear,1,1,0,holiday+home
61823778,20253942,YES,1,3,0.0740058516729,0.0,0,0,0,holiday+home,1,1,0,holiday+home
745791692,20253942,YES,1,3,0.0740058516729,0.00120624917256,0,1,1,holiday+home,1,1,0,holiday+home
2152143480,20253942,YES,2,3,0.0740058516729,0.00548206660162,0,1,1,holiday+home,1,1,0,holiday+home
3401318093,20253942,YES,2,3,0.0740058516729,0.00925429507532,0,1,1,food,1,1,0,holiday+home
15568852,213405395,YES,8,3,0.0175803234111,0.00285264458046,0,1,1,holiday+xmas+newyear,1,0,0,holiday+home
20253942,213405395,YES,2,3,0.0175803234111,0.0740058516729,1,1,0,holiday+home,1,0,0,holiday+home
26460305,213405395,YES,1,3,0.0175803234111,0.000105514815836,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
35075210,213405395,YES,1,3,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
49559323,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
112468555,213405395,YES,1,3,0.0175803234111,0.00249094080162,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
140241017,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
141323179,213405395,YES,1,3,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
163688274,213405395,YES,1,3,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
172759774,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
218713117,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
256224751,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
260232867,213405395,YES,2,3,0.0175803234111,0.00331240277683,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
296676049,213405395,YES,2,3,0.0175803234111,0.00139665757802,0,1,0,holiday+gift,1,0,0,holiday+home
300577552,213405395,YES,2,3,0.0175803234111,0.00140481939106,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
311753127,213405395,YES,1,3,0.0175803234111,0.00103033505921,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
374855929,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
390197534,213405395,YES,1,3,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
408865337,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
478913740,213405395,YES,1,3,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
485285490,213405395,YES,2,3,0.0175803234111,0.00138635107228,0,1,0,holiday+home,1,0,0,holiday+home
486910069,213405395,YES,2,3,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
539978648,213405395,YES,2,3,0.0175803234111,0.00111243344948,0,1,0,holiday+home,1,0,0,holiday+home
601155306,213405395,YES,6,3,0.0175803234111,0.00430338399851,0,1,0,holiday+home,1,0,0,holiday+home
884847343,213405395,YES,8,3,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
