userID,PhaseI,PhaseII,PhaseIII,score,favTopic
873828446,1,1,1,1.0,food
96697085,1,1,1,0.44482404017,food+cook
23241541,1,1,1,0.430856688908,holiday+home
20499753,0,0,0,0.34194206146,food+cook
7121092,1,0,0,0.279769292602,holiday+home
3106340063,0,1,1,0.275284778068,food+cook
213405395,0,0,0,0.264598846454,holiday+home
241844284,0,0,0,0.235750054883,food+cook
2556564865,0,1,1,0.224647106398,holiday+xmas+newyear
3814956857,0,1,1,0.210589992431,food+cook
3240477907,0,1,1,0.201637063352,holiday+xmas+newyear
20253942,0,0,0,0.195717478742,holiday+home
1693564004,0,1,1,0.18695707134,food+cook
80615458,0,1,1,0.175705447334,food+cook
3330227320,0,1,1,0.171089480234,holiday+xmas+newyear
418999990,0,1,1,0.165223034711,food+cook
1389692707,0,1,1,0.158415021145,food+cook
3015679755,0,1,1,0.157615796406,food+cook
3142266196,0,1,1,0.157111116765,food+cook
3422871784,0,1,1,0.151949462045,holiday+xmas+newyear
27310156,0,1,1,0.151604235429,food+cook
2967453217,0,1,1,0.142135994023,food+cook
213120749,0,1,1,0.140665934168,holiday+xmas+newyear
56102549,0,1,1,0.140016297313,holiday+xmas+newyear
1262774348,0,1,1,0.133560890622,holiday+xmas+newyear
18382169,0,1,1,0.130735387249,food+cook
3271033022,0,0,0,0.127005822842,food+cook
458893494,0,1,1,0.125255161468,holiday+xmas+newyear
1526590237,0,1,1,0.121337894383,holiday+xmas+newyear
385162139,0,1,1,0.119856123886,food+cook
540131826,0,1,1,0.113171202815,food+cook
29308871,0,1,1,0.108889284555,holiday+xmas+newyear
2575408423,0,1,1,0.10575084578,holiday+xmas+newyear
447492511,0,1,1,0.102566766647,food+cook
2345820662,0,1,1,0.101795488179,holiday+xmas+newyear
3145734175,0,1,1,0.0977713371808,food+cook
1626732662,0,1,1,0.094762739127,food+cook
3314065008,0,0,0,0.0943436854788,food
29646382,0,1,0,0.09404109828,holiday+xmas+newyear
2858955472,0,1,1,0.0938331655394,holiday+xmas+newyear
172758851,0,0,0,0.0933776993495,holiday+home
47983482,0,1,1,0.0922059955838,food+cook
2967585554,0,1,1,0.089691834374,holiday+xmas+newyear
2871761613,0,1,1,0.0888026235308,holiday+xmas+newyear
3256043222,0,1,1,0.0875584091249,holiday+home
22981009,0,1,1,0.0813654721155,holiday+home
1305286970,0,1,1,0.0784646656646,holiday+home
892341529,0,1,1,0.0765445654313,food+cook
2770016865,0,1,1,0.0763739379399,food+cook
137694679,0,1,0,0.0753786716508,holiday+xmas+newyear
1167241568,0,1,1,0.0748395735257,holiday+xmas+newyear
3111243323,0,1,1,0.0741894839742,food+cook
246521021,0,1,1,0.0741615619883,food+cook
3074439991,0,0,0,0.0716222216653,food+cook
467982683,0,1,1,0.0697240000515,holiday+xmas+newyear
29632989,0,0,0,0.0689940717315,food+cook
2595198668,0,1,1,0.0684491662946,holiday+xmas+newyear
15655027,0,0,0,0.0678659534638,holiday+home
1571310098,0,1,1,0.0670819440193,holiday+xmas+newyear
2242816321,0,1,0,0.0662173845633,holiday+xmas+newyear
889170733,0,1,1,0.063839071387,food+cook
128721452,0,1,0,0.0620373930606,food+cook
380458341,0,1,1,0.060721490072,holiday+home
2450085252,0,1,1,0.0605096454189,food+cook
2472921109,0,1,1,0.0595233075268,food+cook
3285715692,0,0,0,0.0570198677146,holiday+xmas+newyear
334423683,0,1,1,0.0568843546341,holiday+xmas+newyear
40492021,0,1,1,0.0545209349228,holiday+xmas+newyear
2511210217,0,1,1,0.0532480219237,holiday+xmas+newyear
72988446,0,1,1,0.0521485512412,holiday+xmas+newyear
2335762302,0,1,1,0.0516265026697,holiday+xmas+newyear
2813182022,0,1,1,0.0511874069612,holiday+xmas+newyear
1210270140,0,1,1,0.0511398875689,food+cook
55036519,0,1,1,0.0490722014981,holiday+home
2915031318,0,1,1,0.0487686351745,holiday+home
2869640148,0,1,1,0.0479229367743,holiday+home
263864758,0,0,0,0.0476676891274,holiday+xmas+newyear
3008274374,0,1,1,0.0462358397284,holiday+home
190907419,0,1,1,0.0461684228745,food+cook
453817821,0,1,1,0.0455432845616,holiday+xmas+newyear
456270219,0,1,1,0.0450170644574,holiday+xmas+newyear
1902678374,0,1,1,0.0433567819439,holiday+xmas+newyear
260773660,0,1,1,0.0431123949154,food
3015271772,0,1,0,0.042824481909,holiday+xmas+newyear
325609556,0,1,0,0.0425693441798,holiday+xmas+newyear
341664138,0,1,1,0.0420409898282,holiday+xmas+newyear
2954196531,0,1,0,0.0417516188839,holiday+xmas+newyear
3068740521,0,1,1,0.0410924981225,holiday+home
2404461239,0,1,1,0.0408488203848,holiday+xmas+newyear
1393345688,0,1,1,0.0407657661206,holiday+home
149943269,0,1,1,0.0407636761579,holiday+home
4251633688,0,1,1,0.0386010592084,holiday+xmas+newyear
3257220974,0,1,1,0.0384568641617,food+cook
282648359,0,1,1,0.0378124132378,holiday+xmas+newyear
3022953726,0,1,1,0.0370837538176,holiday+gift
2318347284,0,0,0,0.0343511917869,Design
483195215,0,1,0,0.0339264007357,holiday+xmas+newyear
265803490,0,1,1,0.0338429134349,holiday+xmas+newyear
2644973035,0,1,1,0.0318531285209,holiday+xmas+newyear
3645797598,0,1,1,0.0314261506823,food+cook
7346672,0,1,1,0.0304295218572,holiday+home
14240974,0,0,0,0.0296200094092,holiday+xmas+newyear
123420944,0,0,0,0.0291327282991,holiday+xmas+newyear
745791692,0,0,0,0.0288382777511,holiday+home
106017829,0,0,0,0.028510871105,holiday+home
3419075966,0,0,0,0.0284751884177,holiday+home
4153762119,0,0,0,0.0281277136547,food+cook
19259058,0,0,0,0.0273967726021,holiday+xmas+newyear
1455092635,0,0,0,0.0265123048459,holiday+home
2901234671,0,0,0,0.0253575591182,holiday+xmas+newyear
497101636,0,0,0,0.0249457253133,holiday+home
1397730660,0,0,0,0.0248401162632,holiday+home
147026000,0,0,0,0.0247375415111,food+cook
144101650,0,0,0,0.0235656390509,holiday+xmas+newyear
3299404571,0,0,0,0.0230809849659,holiday+xmas+newyear
19270838,0,0,0,0.022488013154,holiday+xmas+newyear
3184646412,0,0,0,0.022236169641,holiday+xmas+newyear
247825024,0,0,0,0.0219959591257,food
26460305,0,0,0,0.021796488918,holiday+xmas+newyear
2953387107,0,0,0,0.0214830818754,holiday+xmas+newyear
398915762,0,0,0,0.0199170184623,holiday+xmas+newyear
162978962,0,0,0,0.0193679240882,holiday+home
1257120356,0,0,0,0.0186632799087,holiday+xmas+newyear
743111744,0,0,0,0.0185642244602,holiday+home
3252638995,0,0,0,0.0185501709574,food+cook
3003852215,0,0,0,0.0178919685826,holiday+xmas+newyear
2815544564,0,0,0,0.0178691699629,holiday+xmas+newyear
23851343,0,0,0,0.0175924972711,holiday+home
3850943119,0,0,0,0.0170014098833,holiday+xmas+newyear
177454156,0,0,0,0.0167536878452,holiday+xmas+newyear
24990869,0,0,0,0.0157714499562,holiday+xmas+newyear
3222822031,0,0,0,0.0157031850264,holiday+home
3114344983,0,0,0,0.0151980694568,holiday+xmas+newyear
919046790,0,0,0,0.015064133206,holiday+xmas+newyear
102834913,0,0,0,0.0144865689726,holiday+xmas+newyear
601155306,0,0,0,0.0144209496465,holiday+home
4061424557,0,0,0,0.0139656356216,holiday+home
48754048,0,0,0,0.0128081988156,holiday+home
3023038974,0,0,0,0.012543521406,holiday+home
15568852,0,0,0,0.0124064978851,holiday+xmas+newyear
26561883,0,0,0,0.0123728353024,food
172759774,0,0,0,0.0121888290703,holiday+home
4138794358,0,0,0,0.0120413032729,holiday+xmas+newyear
2829611681,0,0,0,0.0105064851164,holiday+xmas+newyear
202211291,0,0,0,0.010415384194,holiday+xmas+newyear
3273593593,0,0,0,0.0102476108431,food+cook
30888496,0,0,0,0.010122146783,holiday+xmas+newyear
1293588350,0,0,0,0.0101133715829,holiday+xmas+newyear
424594348,0,0,0,0.00982445427276,holiday+xmas+newyear
818798281,0,0,0,0.00977268556154,holiday+xmas+newyear
366077287,0,0,0,0.00940309110708,holiday+xmas+newyear
4468512974,0,0,0,0.00934457786128,holiday+xmas+newyear
2902848647,0,0,0,0.0093216566659,holiday+xmas+newyear
256835387,0,0,0,0.00907610830987,holiday+xmas+newyear
262566706,0,0,0,0.00857243316325,holiday+xmas+newyear
1074008324,0,0,0,0.00847387032181,holiday+xmas+newyear
536971272,0,0,0,0.00798813658753,holiday+home
14227896,0,0,0,0.00796501101466,holiday+xmas+newyear
540244828,0,0,0,0.00762475596312,holiday+xmas+newyear
2212724846,0,0,0,0.00748878965943,holiday+xmas+newyear
4411380154,0,0,0,0.00711759432619,holiday+xmas+newyear
21238828,0,0,0,0.00694190175538,holiday+xmas+newyear
3010573975,0,0,0,0.00666552999106,holiday+xmas+newyear
2377950579,0,0,0,0.00636250090286,holiday+xmas+newyear
2989115624,0,0,0,0.00630088853598,holiday+xmas+newyear
343500261,0,0,0,0.00628625527937,holiday+home
102816998,0,0,0,0.00607466134149,holiday+xmas+newyear
1645740925,0,0,0,0.00547273863791,holiday+xmas+newyear
733181233,0,0,0,0.00542848398409,holiday+xmas+newyear
17931869,0,0,0,0.00538785521017,holiday+xmas+newyear
